陽光丸準備品リスト,2016/6/13更新,,,,,,,,,,,,,
コンテナ名,物,数,単位,備考,荷姿,荷物No.,チェック,,,,,,,
,アイボーイ500ml角瓶,20,個,ノルパック用,青コンテナ（平）,,,,,,,,,
1lびん,1l瓶,12,個,ニューストンネット用,青コンテナ（平）,,,,,,,,,
,1l瓶,12,個,ニューストンネット用,青コンテナ（平）,,,,,,,,,
,1l瓶,12,個,ニューストンネット用,青コンテナ（平）,,,,,,,,,
,1l瓶,12,個,ニューストンネット用,青コンテナ（平）,,,,,,,,,
,1l瓶,12,個,ニューストンネット用,青コンテナ（平）,,,,,,,,,
図鑑①,魚類検索図鑑,1,冊,,青コンテナ（平）,,,,,,,,,
,稚魚図鑑,1,冊,,,,,,,,,,,
図鑑②,東シナ海・黄海の魚類誌,1,冊,,青コンテナ（平）,,,,,,,,,
,プランクトン図鑑,1,冊,,,,,,,,,,,
,検索図鑑分冊,必要量,,ニシン目、アジ科、サバ科など,,,,,,,,,,
,岡本さんの稚魚図鑑,1,冊,,,,,,,,,,,
,コピー用紙,1,袋,,,,,,,,,,,
釣り道具,釣り道具,必要量,,釣りして遊ばないなら不要,青コンテナ（平）,,,,,,,,,
乾電池・洗瓶・キムタオル,タマネギ袋,20,袋,,透明コンテナ,,,,,,,,,
,洗瓶,6,本,大２　小4,,,,,,,,,,
,電池（単一）,40,個,,,,,,,,,,,
,キムワイプ,1,箱,,,,,,,,,,,
,キムタオル,1,束,,,,,,,,,,,
,ステンレスハンガー,2,本,,,,,,,,,,,
,長靴中敷き,5,枚,,,,,,,,,,,
,メスカップ,1,個,,,,,,,,,,,
マリンスケール小,マリンスケール小,1,個,,青コンテナ（平）,,,,,,,,,
,単一乾電池,6,個,,,,,,,,,,,
マリンスケール中,マリンスケール中,1,個,,バイスケ,,,,,,,,,
マリンスケール大,30kg用,2,個,,,,,,,,,,,
"サンプル瓶3l, 2l","サンプル瓶3l, 2l",必要量,,,青コンテナ（平）,,,,,,,,,
"サンプル瓶1l, 500ml","サンプル瓶1l, 500ml",必要量,,,ダンボール,,,,,,,,,
サンプル瓶300ml,サンプル瓶300ml,必要量,,,ダンボール,,,,,,,,,
工具箱,テグス用金具70-80号用,必要量,,500入り1袋,工具箱,,,,,,,,,
,圧着用工具,1,本,ノルパックネットブライドル用,,,,,,,,,,
,工具類,1,セット,,,,,,,,,,,
,インシュロック,必要量,,,,,,,,,,,,
ノルパック濾水計較正フレーム,,1,個,,,,,,,,,,,
ノルパックフレーム,フレーム,2,個,,フレーム,,,,,,,,,
ニューストンフレーム,フレーム,2,個,,フレーム,,,,,,,,,
ニューストンフロート,,4,個,,,,,,,,,,,
魚探較正球,,,,,透明コンテナ,,,,,,,,,
魚探較正道具,,,,,緑コンテナ,,,,,,,,,
魚探較正用ロッド,較正用ロッド,3,本,魚探用、予備,釣り竿袋入り,,,,,,,,,
船上ノルパック収納用コンテナ,,,,緑色の巨大なプラスチック箱,,,,,,,,,,
ザル,,6,個,3個ずつ2種類,,,,,,,,,,
バイスケ,,4,個,大2、小2,,,,,,,,,,
買い物かご,,1,個,,,,,,,,,,,
バケツ,,5,個,,,,,,,,,,,
ほうき、ちり取り、モップ,,1,セット,,,,,,,,,,,
ニューストン濾し網セット,,1,セット,フレームと網,,,,,,,,,,
箱ティッシュ,,5,個,,,,,,,,,,,
薬品用ポンプ,,1,本,,,,,,,,,,,
釣り竿,釣り竿,1,本,,釣り竿袋入り,,,,,,,,,
魚体測定板,,4,個,,,,,,,,,,,
真空パック器,,1,個,,透明コンテナ,,,,,,,,,
,,,,,,,,,,,,,,
その他確認するもの,,,,,,,,,,,,,,
CTD,薬品用ラボタン,,,,,,,,,,,,,
トロール漁具構成,薬品用サイフォン,,,,,,,,,,,,,
スキャンマ－　と、金具,洗面器,,,,,,,,,,,,,
エタノール置換用グッズ,トスロンバケツ（ハダカイワシ）,,,,,,,,,,,,,
ウエストポーチ,トロールソナー、ピンガー、マルチサンプラー,,,,,,,,,,,,,
,,,,,,,,,,,,,,
来年あったらいいもの,,,,,,,,,,,,,,
ホワイトボードマーカー,,,,,,,,,,,,,,
タオル,,,,,,,,,,,,,,
ホッチキス,,,,,,,,,,,,,,
スプーン,,,,,,,,,,,,,,
お玉,,,,,,,,,,,,,,
ボードに張れる野帳,ノルパック用とニューストン用で分ける,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
